# Explanation of columns:
# Column  1: 'idx':     index of sequence in input file
# Column  2: 'seqname': name of sequence
# Column  3: 'seqlen':  length of sequence
# Column  4: 'staxid':  taxid of sequence (species level), '-' if all taxid related steps were skipped
# Column  5: 'otaxid':  taxid of sequence (order level), '-' if all taxid related steps were skipped
# Column  6: 'ctaxid':  taxid of sequence (class level), '-' if all taxid related steps were skipped
# Column  7: 'ptaxid':  taxid of sequence (phylum level), '-' if all taxid related steps were skipped
# Column  8: 'p/f':     PASS if sequence passed all filters else FAIL
# Column  9: 'clust':   'R' if sequence selected as representative of a cluster, 'NR' if not
# Column 10: 'special': '-' for all sequences because --special not used
# Column 11: 'failstr': '-' for PASSing sequences, else list of reasons for FAILure, see below
#
# Possible substrings in 'failstr' column 11, each substring separated by ';;':
# 'ambig[<d>]':            contains <d> ambiguous nucleotides, which exceeds maximum allowed
# 'blastrepeat[<s>]':      repetitive sequence identified by blastn
#                          <s> = <s1>,<s2>,...<sI>...<sN> for N >= 1, where
#                          <sI> = <c1>|e=<g1>|len=<d1>|<d2>..<d3>/<d4>..<d5>|pid=<f1>|ngap=<d6>
#                          <c1> = + for positive strand, - for negative strand
#                          <g1> = E-value of hit
#                          <d1> = maximum of query length and subject length in hit alignment
#                          <d2>..<d3> = query coordinates of hit
#                          <d4>..<d5> = subject coordinates of hit
#                          <f1> = fractional identity of hit alignment
#                          <d6> = number of gaps in hit alignment
# 'ribotyper2[<s>]:        ribotyper (riboaligner) failure with unexpected features listed in <s>
#                          see db100novec-p/db100novec-p.ribodbmaker-ra/db100novec-p-ra.ribotyper.long.out
#                          for explanation of unexpected features
# 'riboaligner[<s>]:       riboaligner failure because of sequence length classification
#                          <s>=full-extra:5pins:<d1>:3pins<d2>:
#                                                  alignment spans full model with <d1> > 0 nt extra before first model
#                                                  position and/or <d2> > 0 nt extra after final model position
#                          <s>=full-ambig-more:    alignment spans full model with 0 nt extra on 5' or 3' end but
#                                                  has indels in first and/or final 10 model positions and
#                                                  insertions outnumber deletions at 5' and/or 3' end
#                          <s>=full-ambig-less:    alignment spans full model with 0 nt extra on 5' or 3' end but
#                                                  has indels in first and/or final 10 model positions and
#                                                  and insertions do not outnumber deletions at 5' and/or 3' end
#                          <s>=5flush-extra:5pins<d>:
#                                                  alignment extends to first but not final model position
#                                                  with <d> > 0 nt extra before first model position
#                          <s>=5flush-ambig-more:    alignment extends to first but not final model position
#                                                  and has indels in first 10 model positions and
#                                                  insertions outnumber deletions at 5' end
#                          <s>=5flush-ambig-less:    alignment extends to first but not final model position
#                                                  and has indels in first 10 model positions and
#                                                  insertions do not outnumber deletions at 5' end
#                          <s>=3flush-extra:3pins:<d>:
#                                                  alignment extends to final but not first model position
#                                                  with <d> > 0 nt extra after final model position
#                          <s>=3flush-ambig-more:    alignment extends to final but not first model position
#                                                  and has indels in final 10 model positions and
#                                                  insertions outnumber deletions at 3' end
#                          <s>=3flush-ambig-less:    alignment extends to final but not first model position
#                                                  and has indels in final 10 model positions and
#                                                  insertions do not outnumber deletions at 3' end
# 'mdlspan[<d1>-<d2>]:     alignment of sequence does not span required model positions, model span is <d1> to <d2>
#idx  seqname     seqlen   staxid   otaxid   ctaxid   ptaxid   p/f  clust  special  failstr
1     KC674542.1    1809        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.972<0.990);];;
2     EU278606.1    1737        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.990<0.990);];;
3     AB034910.1    1763        -        -        -        -  PASS      R        -  -
4     KC670242.1    1741        -        -        -        -  PASS      R        -  -
5     MG520986.1    1063        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.678<0.990);*MultipleHits:(2:SI[M:-1(568..568),S:338(510..847)]);];;
6     DQ677995.1    1644        -        -        -        -  FAIL      -        -  mdlspan[86-1781];;
7     KX352732.1    1280        -        -        -        -  FAIL      -        -  ribotyper2[*UnacceptableModel:(SSU_rRNA_microsporidia);*LowCoverage:(0.981<0.990);];;
8     AB220232.1    1723        -        -        -        -  PASS      R        -  -
9     KC674843.1    1736        -        -        -        -  PASS      R        -  -
10    JX644478.1    1042        -        -        -        -  FAIL      -        -  mdlspan[68-1117];;
11    KC671420.1    1741        -        -        -        -  PASS     NR        -  -
12    HF968783.1    1712        -        -        -        -  PASS      R        -  -
13    EF638685.1    1330        -        -        -        -  FAIL      -        -  mdlspan[353-1729];;
14    KC672143.1    1741        -        -        -        -  PASS      R        -  -
15    KX092113.1    1442        -        -        -        -  FAIL      -        -  mdlspan[347-1821];;
16    EF638553.1    1361        -        -        -        -  FAIL      -        -  mdlspan[322-1729];;
17    HM799815.1    1754        -        -        -        -  FAIL      -        -  ambig[100>5];;ribotyper2[*LowCoverage:(0.944<0.990);*MultipleHits:(2:NH[M:86(883..968),S:99(824..922)]);];;
18    KC672092.1    1780        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.976<0.990);];;
19    DQ646548.1    1774        -        -        -        -  PASS      R        -  -
20    AY640212.1    1736        -        -        -        -  PASS      R        -  -
21    EU107180.1    1770        -        -        -        -  PASS      R        -  -
22    AB758270.1    1102        -        -        -        -  FAIL      -        -  mdlspan[35-1160];;
23    FJ824759.1    1134        -        -        -        -  FAIL      -        -  mdlspan[20-1173];;
24    KC671358.1    1765        -        -        -        -  PASS      R        -  -
25    KC675106.1    1743        -        -        -        -  PASS      R        -  -
26    AJ232952.1    1752        -        -        -        -  PASS      R        -  -
27    AB048279.1    1780        -        -        -        -  PASS      R        -  -
28    AF242261.1    1818        -        -        -        -  FAIL      -        -  ambig[126>5];;ribotyper2[*LowCoverage:(0.909<0.990);*MultipleHits:(2:NH[M:123(445..567),S:166(444..609)]);];;
29    AY657012.1    1774        -        -        -        -  PASS      R        -  -
30    DQ457647.1    1785        -        -        -        -  PASS      R        -  -
31    GU187642.1    1799        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.972<0.990);];;
32    KC669941.1    1744        -        -        -        -  PASS     NR        -  -
33    AJ560302.1    1684        -        -        -        -  FAIL      -        -  mdlspan[22-1752];;
34    AB002062.1    1771        -        -        -        -  PASS      R        -  -
35    KT259197.1    1075        -        -        -        -  FAIL      -        -  mdlspan[21-1115];;
36    KC670223.1    1782        -        -        -        -  FAIL      -        -  ribotyper2[*LowCoverage:(0.976<0.990);];;
37    GU004234.1    1518        -        -        -        -  FAIL      -        -  mdlspan[216-1779];;
